term,replacement
attention-to-memory hypothesis,attention-to-memory_hypothesis
attention-to-memory hypotheses,attention-to-memory_hypothesis
AtoM,AtoM
AtoM,AtoM
attention-to-memory model,attention-to-memory_model
attention-to-memory models,attention-to-memory_model
dual attentional processes hypothesis,dual_attentional_processes_hypothesis
dual attentional processes hypotheses,dual_attentional_processes_hypothesis
semantic feature effect,semantic_feature_effect
semantic feature effects,semantic_feature_effect
theta rhythm,theta_rhythm
theta rhythms,theta_rhythm
theta frequency,theta_frequency
theta frequencies,theta_frequency
theta oscillation,theta_oscillation
theta oscillations,theta_oscillation
theta power,theta_power
theta powers,theta_power
theta wave,theta_wave
theta waves,theta_wave
emotion-enhanced memory effect,emotion-enhanced_memory_effect
emotion-enhanced memory effects,emotion-enhanced_memory_effect
emotion enhancement effect,emotion_enhancement_effect
emotion enhancement effects,emotion_enhancement_effect
emotional enhancement,emotional_enhancement
emotional enhancements,emotional_enhancement
emotional enhancement of memory,emotional_enhancement_of_memory
emotional enhancements of memory,emotional_enhancement_of_memory
emotional memory enhancement effect,emotional_memory_enhancement_effect
emotional memory enhancement effects,emotional_memory_enhancement_effect
memory enhancement effect of emotion,memory_enhancement_effect_of_emotion
memory enhancement effects of emotion,memory_enhancement_effect_of_emotion
anterior cingulate cortex,anterior_cingulate_cortex
anterior cingulate cortexes,anterior_cingulate_cortex
ACC,ACC
ACC,ACC
Gray matter of anterior cingulate gyrus,Gray_matter_of_anterior_cingulate_gyrus
Gray matters of anterior cingulate gyrus,Gray_matter_of_anterior_cingulate_gyrus
trace transformation theory,trace_transformation_theory
trace transformation theories,trace_transformation_theory
TTT,TTT
TTT,TTT
ecphoric information,ecphoric_information
ecphoric informations,ecphoric_information
dorsolateral prefrontal cortex,dorsolateral_prefrontal_cortex
dorsolateral prefrontal cortexes,dorsolateral_prefrontal_cortex
DL-PFC,DL-PFC
DL-PFC,DL-PFC
DLPFC,DLPFC
DLPFC,DLPFC
dorsal lateral prefrontal cortex,dorsal_lateral_prefrontal_cortex
dorsal lateral prefrontal cortexes,dorsal_lateral_prefrontal_cortex
motor consolidation effect,motor_consolidation_effect
motor consolidation effects,motor_consolidation_effect
event segmentation,event_segmentation
event segmentation,event_segmentation
standard theory of consolidation,standard_theory_of_consolidation
standard theories of consolidation,standard_theory_of_consolidation
standard model of consolidation,standard_model_of_consolidation
standard models of consolidation,standard_model_of_consolidation
mental context reinstatement,mental_context_reinstatement
mental context reinstatements,mental_context_reinstatement
episodic context reinstatement,episodic_context_reinstatement
episodic context reinstatements,episodic_context_reinstatement
mental reinstatement of context,mental_reinstatement_of_context
mental reinstatements of context,mental_reinstatement_of_context
dorsal parietal cortex,dorsal_parietal_cortex
dorsal parietal cortex,dorsal_parietal_cortex
DPC,DPC
DPC,DPC
dorsal posterior parietal cortex,dorsal_posterior_parietal_cortex
dorsal posterior parietal cortex,dorsal_posterior_parietal_cortex
denial-induced forgetting,denial-induced_forgetting
denial-induced forgettings,denial-induced_forgetting
prototype effect,prototype_effect
prototype effects,prototype_effect
prototype-enhancement effect,prototype-enhancement_effect
prototype-enhancement effects,prototype-enhancement_effect
pattern completion,pattern_completion
pattern completions,pattern_completion
deblurring,deblurring
deblurring,deblurring
relative judgment of recency,relative_judgment_of_recency
relative judgments of recency,relative_judgment_of_recency
judgement of relative order,judgement_of_relative_order
judgements of relative order,judgement_of_relative_order
mnemonic discrimination,mnemonic_discrimination
mnemonic discriminations,mnemonic_discrimination
tunnel memory,tunnel_memory
tunnel memories,tunnel_memory
context-dependent recognition,context-dependent_recognition
context-dependent recognitions,context-dependent_recognition
list-length effect,list-length_effect
list-length effects,list-length_effect
misinformation paradigm,misinformation_paradigm
misinformation paradigms,misinformation_paradigm
group-reference effect,group-reference_effect
group-reference effects,group-reference_effect
group-referencing,group-referencing
group-referencing,group-referencing
schema-based false memory,schema-based_false_memory
schema-based false memories,schema-based_false_memory
false schematic memory,false_schematic_memory
false schematic memories,false_schematic_memory
schema-driven false memory,schema-driven_false_memory
schema-driven false memories,schema-driven_false_memory
retrieval effort,retrieval_effort
retrieval efforts,retrieval_effort
structural theories of memory,structural_theories_of_memory
structural theories of memory,structural_theories_of_memory
multiple memory systems theories,multiple_memory_systems_theories
multiple memory systems theories,multiple_memory_systems_theories
retrieval success,retrieval_success
retrieval successes,retrieval_success
semantization,semantization
semantizations,semantization
semanticization,semanticization
semanticizations,semanticization
negation-induced forgetting,negation-induced_forgetting
negation-induced forgettings,negation-induced_forgetting
adaptive memory,adaptive_memory
adaptive memories,adaptive_memory
attentional boost effect,attentional_boost_effect
attentional boost effects,attentional_boost_effect
ABE,ABE
ABE,ABE
complementary learning systems,complementary_learning_systems
complementary learning systems,complementary_learning_systems
simultaneous learning effect,simultaneous_learning_effect
simultaneous learning effects,simultaneous_learning_effect
simultaneous acquisition effect,simultaneous_acquisition_effect
simultaneous acquisition effects,simultaneous_acquisition_effect
simultaneous acquisition retention phenomenon,simultaneous_acquisition_retention_phenomenon
simultaneous acquisition retention phenomena,simultaneous_acquisition_retention_phenomenon
autobiographical fluency task,autobiographical_fluency_task
autobiographical fluency tasks,autobiographical_fluency_task
animacy effect,animacy_effect
animacy effects,animacy_effect
ventral parietal cortex,ventral_parietal_cortex
ventral parietal cortexes,ventral_parietal_cortex
VPC,VPC
VPC,VPC
inferior parietal lobule,inferior_parietal_lobule
inferior parietal lobules,inferior_parietal_lobule
ventral inferior parietal lobule,ventral_inferior_parietal_lobule
ventral inferior parietal lobules,ventral_inferior_parietal_lobule
ventral posterior parietal cortex,ventral_posterior_parietal_cortex
ventral posterior parietal cortexes,ventral_posterior_parietal_cortex
self-directed learning,self-directed_learning
self-directed learnings,self-directed_learning
self-regulated learning,self-regulated_learning
self-regulated learnings,self-regulated_learning
production effect,production_effect
production effects,production_effect
serial order intrusion,serial_order_intrusion
serial order intrusions,serial_order_intrusion
protrusion effect,protrusion_effect
protrusion effects,protrusion_effect
constructive episodic simulation hypothesis,constructive_episodic_simulation_hypothesis
constructive episodic simulation hypotheses,constructive_episodic_simulation_hypothesis
retroactive enhancement effect,retroactive_enhancement_effect
retroactive enhancement effects,retroactive_enhancement_effect
temporal compression,temporal_compression
temporal compressions,temporal_compression
